comp_id,subscriber_id,category,logged_at,notes
comp_35,sub_20,MNP_PORT_OUT,2025-05-03,Asked for the porting authorisation code
comp_36,sub_20,MNP_PORT_OUT,2025-04-14,Wants to port out to another network
comp_37,sub_21,GENERAL,2025-05-07,Asked for the porting authorisation code
comp_38,sub_22,MNP_PORT_OUT,2025-05-15,"Third complaint about dropped calls, still unresolved"
comp_39,sub_23,NETWORK,2025-04-14,Threatening to cancel the connection this week
comp_40,sub_23,BILLING,2025-05-19,Signal keeps dropping at the home address
comp_41,sub_24,MNP_PORT_OUT,2025-05-07,Signal keeps dropping at the home address
comp_42,sub_24,BILLING,2025-03-20,Asked for the porting authorisation code
comp_43,sub_25,NETWORK,2025-04-18,Asked for the porting authorisation code
comp_44,sub_25,NETWORK,2025-05-14,"Third complaint about dropped calls, still unresolved"
comp_45,sub_25,MNP_PORT_OUT,2025-05-09,Signal keeps dropping at the home address
comp_46,sub_25,BILLING,2025-05-29,Wants to port out to another network
comp_47,sub_28,MNP_PORT_OUT,2025-04-27,General enquiry about the current plan
comp_48,sub_31,GENERAL,2025-04-14,Enquiry about upgrading the handset
comp_49,sub_32,GENERAL,2025-04-24,Wants to change the billing date
comp_50,sub_34,MNP_PORT_OUT,2025-05-19,Asked about data rollover rules
comp_51,sub_34,GENERAL,2025-05-22,Wants to change the billing date
comp_52,sub_34,BILLING,2025-03-08,Query on international roaming rates
comp_53,sub_36,NETWORK,2025-04-26,Enquiry about upgrading the handset
comp_54,sub_41,MNP_PORT_OUT,2025-04-12,Asked about data rollover rules
comp_55,sub_41,GENERAL,2025-03-27,Requested an itemised bill copy
comp_56,sub_41,BILLING,2025-05-28,Enquiry about upgrading the handset
comp_57,sub_42,NETWORK,2025-05-09,Query on international roaming rates
comp_58,sub_45,MNP_PORT_OUT,2025-03-19,Asked how to check the remaining balance
comp_59,sub_48,NETWORK,2025-05-15,Asked how to check the remaining balance
comp_60,sub_49,MNP_PORT_OUT,2025-05-18,Query on international roaming rates
comp_61,sub_50,GENERAL,2025-04-21,Requested an itemised bill copy
comp_62,sub_53,GENERAL,2025-04-21,General enquiry about the current plan
comp_63,sub_55,BILLING,2025-03-25,Asked about data rollover rules
comp_64,sub_59,BILLING,2025-05-12,General enquiry about the current plan
comp_65,sub_60,BILLING,2025-03-08,Requested an itemised bill copy
comp_66,sub_61,NETWORK,2025-04-16,Asked how to check the remaining balance
comp_67,sub_61,NETWORK,2025-05-28,Wants to change the billing date
comp_68,sub_61,NETWORK,2025-04-12,Requested an itemised bill copy
comp_69,sub_61,MNP_PORT_OUT,2025-03-10,Enquiry about upgrading the handset
comp_70,sub_63,NETWORK,2025-04-23,Enquiry about upgrading the handset
comp_71,sub_65,NETWORK,2025-03-14,Enquiry about upgrading the handset
comp_72,sub_66,BILLING,2025-04-28,Asked about data rollover rules
comp_73,sub_68,BILLING,2025-04-16,Query on international roaming rates
comp_74,sub_70,GENERAL,2025-04-24,Query on international roaming rates
comp_75,sub_73,MNP_PORT_OUT,2025-03-24,Wants to change the billing date
comp_76,sub_76,MNP_PORT_OUT,2025-05-24,Wants to change the billing date
comp_77,sub_76,MNP_PORT_OUT,2025-05-14,Query on international roaming rates
comp_78,sub_80,MNP_PORT_OUT,2025-03-25,Requested an itemised bill copy
comp_79,sub_80,NETWORK,2025-03-10,Wants to change the billing date
comp_80,sub_83,NETWORK,2025-05-03,Wants to change the billing date
comp_81,sub_84,NETWORK,2025-04-05,Wants to change the billing date
comp_82,sub_84,NETWORK,2025-05-18,Wants to change the billing date
comp_83,sub_88,NETWORK,2025-05-29,Requested an itemised bill copy
comp_84,sub_88,MNP_PORT_OUT,2025-04-28,Query on international roaming rates
comp_85,sub_88,BILLING,2025-04-06,Requested an itemised bill copy
comp_86,sub_89,NETWORK,2025-04-29,General enquiry about the current plan
comp_87,sub_92,GENERAL,2025-05-12,General enquiry about the current plan
comp_88,sub_94,BILLING,2025-05-21,Asked how to check the remaining balance
comp_89,sub_94,BILLING,2025-04-14,Asked how to check the remaining balance
comp_90,sub_95,BILLING,2025-03-27,Query on international roaming rates
comp_91,sub_95,GENERAL,2025-05-21,Enquiry about upgrading the handset
comp_92,sub_96,MNP_PORT_OUT,2025-05-19,Query on international roaming rates
comp_93,sub_97,NETWORK,2025-05-21,General enquiry about the current plan
comp_94,sub_97,MNP_PORT_OUT,2025-05-30,Enquiry about upgrading the handset
comp_95,sub_98,NETWORK,2025-03-13,General enquiry about the current plan
comp_96,sub_99,BILLING,2025-06-01,Wants to change the billing date
comp_97,sub_99,NETWORK,2025-04-28,Asked how to check the remaining balance
